
 *****Load users*****"

26274 function calls (25805 primitive calls) in 0.196 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.196    0.196 <string>:1(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:1015(encode)
        9    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
        9    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
       28    0.000    0.000    0.000    0.000 __init__.py:1136(decode_all)
        9    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
        9    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
       28    0.000    0.000    0.000    0.000 __init__.py:1233(_decode_all_selective)
        2    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1436(info)
        8    0.000    0.000    0.001    0.000 __init__.py:1448(warning)
        9    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
        9    0.000    0.000    0.000    0.000 __init__.py:1550(makeRecord)
        9    0.000    0.000    0.001    0.000 __init__.py:1565(_log)
        9    0.000    0.000    0.001    0.000 __init__.py:1591(handle)
        9    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
        9    0.000    0.000    0.001    0.000 __init__.py:1645(callHandlers)
        2    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        9    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        2    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        9    0.000    0.000    0.000    0.000 __init__.py:282(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:358(getMessage)
        9    0.000    0.000    0.000    0.000 __init__.py:421(usesTime)
        9    0.000    0.000    0.000    0.000 __init__.py:429(_format)
        9    0.000    0.000    0.000    0.000 __init__.py:432(format)
       10    0.000    0.000    0.000    0.000 __init__.py:437(_make)
       10    0.000    0.000    0.000    0.000 __init__.py:447(_replace)
        9    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
        9    0.000    0.000    0.000    0.000 __init__.py:628(usesTime)
        9    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
        9    0.000    0.000    0.000    0.000 __init__.py:650(format)
       18    0.000    0.000    0.000    0.000 __init__.py:791(filter)
       18    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
       18    0.000    0.000    0.000    0.000 __init__.py:903(release)
        9    0.000    0.000    0.000    0.000 __init__.py:916(format)
        9    0.000    0.000    0.001    0.000 __init__.py:939(handle)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
      216    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:779(items)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:802(__init__)
